index,Hours,Lat,Long,UserID
219,01:01:00,-8.83828,13.23442,79
220,01:01:00,-4.32972,15.31497,68
221,01:01:00,5.319996,-4.04004,69
222,01:01:00,9.03331,38.7,20
223,01:01:00,10.78002,106.695,29
224,01:01:00,11.99997,8.520037,95
225,01:01:00,13.08998,80.27999,47
226,01:01:00,15.58807,32.53417,117
227,01:01:00,16.78335,96.16667,88
228,01:01:00,17.39998,78.47995,11
229,01:01:00,18.53001,73.85,11
230,01:01:00,21.19998,72.84003,36
231,01:01:00,22.32999,91.79996,30
232,01:01:00,22.49496,88.32467,17
233,01:01:00,22.58039,88.32994,17
234,01:01:00,23.03005,72.58,64
235,01:01:00,23.04888,113.7447,45
236,01:01:00,23.14498,113.325,45
237,01:01:00,23.72305,90.40857,20
238,01:01:00,24.86999,66.99,10
239,01:01:00,26.45999,80.31999,30
240,01:01:00,26.92113,75.80998,60
241,01:01:00,29.56497,106.5949,89
242,01:01:00,30.58003,114.27,43
243,01:01:00,30.67,104.07,69
244,01:01:00,31.20001,29.94999,7
245,01:01:00,31.55997,74.35002,48
246,01:01:00,32.05001,118.7799,55
247,01:01:00,33.33864,44.39386,71
248,01:01:00,33.59997,-7.61636,69
249,01:01:00,34.27502,108.8949,29
250,01:01:00,34.51669,69.18326,25
251,01:01:00,35.09505,129.01,55
252,01:01:00,35.67194,51.42434,75
253,01:01:00,37.87501,112.545,32
254,01:01:00,39.01943,125.7546,8
255,01:01:00,39.13002,117.2,28
256,01:01:00,41.80497,123.4499,20
257,01:01:00,43.865,125.3399,5
258,02:01:00,-8.83828,13.23442,68
259,02:01:00,-4.32972,15.31497,56
260,02:01:00,5.319996,-4.04004,98
261,02:01:00,9.03331,38.7,37
262,02:01:00,10.78002,106.695,49
263,02:01:00,11.99997,8.520037,76
264,02:01:00,13.08998,80.27999,66
265,02:01:00,15.58807,32.53417,165
266,02:01:00,16.78335,96.16667,102
267,02:01:00,17.39998,78.47995,31
268,02:01:00,18.53001,73.85,22
269,02:01:00,21.03332,105.85,5
270,02:01:00,21.19998,72.84003,46
271,02:01:00,22.32999,91.79996,30
272,02:01:00,22.49496,88.32467,27
273,02:01:00,22.58039,88.32994,19
274,02:01:00,23.03005,72.58,90
275,02:01:00,23.04888,113.7447,60
276,02:01:00,23.14498,113.325,85
277,02:01:00,23.72305,90.40857,20
278,02:01:00,24.86999,66.99,12
279,02:01:00,26.45999,80.31999,19
280,02:01:00,26.92113,75.80998,84
281,02:01:00,29.56497,106.5949,74
282,02:01:00,30.58003,114.27,50
283,02:01:00,30.67,104.07,61
284,02:01:00,31.20001,29.94999,6
285,02:01:00,31.55997,74.35002,45
286,02:01:00,32.05001,118.7799,60
287,02:01:00,33.33864,44.39386,33
288,02:01:00,33.59997,-7.61636,68
289,02:01:00,34.27502,108.8949,38
290,02:01:00,34.51669,69.18326,18
291,02:01:00,35.09505,129.01,45
292,02:01:00,35.67194,51.42434,108
293,02:01:00,37.87501,112.545,34
294,02:01:00,39.01943,125.7546,2
295,02:01:00,39.13002,117.2,37
296,02:01:00,39.92889,116.3882,11
297,02:01:00,41.80497,123.4499,15
298,02:01:00,43.865,125.3399,8
299,03:01:00,-8.83828,13.23442,103
300,03:01:00,-4.32972,15.31497,105
301,03:01:00,5.319996,-4.04004,77
302,03:01:00,9.03331,38.7,8
303,03:01:00,10.78002,106.695,80
304,03:01:00,11.99997,8.520037,65
305,03:01:00,13.08998,80.27999,86
306,03:01:00,15.58807,32.53417,135
307,03:01:00,16.78335,96.16667,93
308,03:01:00,17.39998,78.47995,24
309,03:01:00,18.53001,73.85,31
310,03:01:00,21.03332,105.85,28
311,03:01:00,21.19998,72.84003,69
312,03:01:00,22.32999,91.79996,26
313,03:01:00,22.49496,88.32467,32
314,03:01:00,22.58039,88.32994,41
315,03:01:00,23.03005,72.58,98
316,03:01:00,23.04888,113.7447,84
317,03:01:00,23.09653,109.6091,1
318,03:01:00,23.14498,113.325,102
319,03:01:00,23.72305,90.40857,26
320,03:01:00,24.86999,66.99,12
321,03:01:00,26.45999,80.31999,31
322,03:01:00,26.92113,75.80998,77
323,03:01:00,29.56497,106.5949,79
324,03:01:00,30.58003,114.27,51
325,03:01:00,30.67,104.07,47
326,03:01:00,31.20001,29.94999,8
327,03:01:00,31.55997,74.35002,72
328,03:01:00,32.05001,118.7799,51
329,03:01:00,33.33864,44.39386,58
330,03:01:00,33.59997,-7.61636,83
331,03:01:00,34.27502,108.8949,29
332,03:01:00,34.51669,69.18326,51
333,03:01:00,35.09505,129.01,70
334,03:01:00,35.67194,51.42434,87
335,03:01:00,37.87501,112.545,34
336,03:01:00,39.01943,125.7546,6
337,03:01:00,39.13002,117.2,23
338,03:01:00,39.92889,116.3882,9
339,03:01:00,41.80497,123.4499,13
340,03:01:00,43.865,125.3399,12
341,04:01:00,-8.83828,13.23442,71
342,04:01:00,-4.32972,15.31497,45
343,04:01:00,5.319996,-4.04004,58
344,04:01:00,9.03331,38.7,17
345,04:01:00,10.78002,106.695,92
346,04:01:00,11.99997,8.520037,59
347,04:01:00,13.08998,80.27999,148
348,04:01:00,15.58807,32.53417,163
349,04:01:00,16.78335,96.16667,133
350,04:01:00,17.39998,78.47995,55
351,04:01:00,18.53001,73.85,62
352,04:01:00,21.03332,105.85,45
353,04:01:00,21.19998,72.84003,62
354,04:01:00,22.32999,91.79996,35
355,04:01:00,22.49496,88.32467,38
356,04:01:00,22.58039,88.32994,51
