StartTime,EndTIme,Count
10:01 PM - 07 Oct 2016,11:01 PM - 07 Oct 2016,19
11:01 PM - 07 Oct 2016,12:01 AM - 08 Oct 2016,25
12:01 AM - 08 Oct 2016,01:01 AM - 08 Oct 2016,41
01:01 AM - 08 Oct 2016,02:01 AM - 08 Oct 2016,39
02:01 AM - 08 Oct 2016,03:01 AM - 08 Oct 2016,45
03:01 AM - 08 Oct 2016,04:01 AM - 08 Oct 2016,56
04:01 AM - 08 Oct 2016,05:01 AM - 08 Oct 2016,79
05:01 AM - 08 Oct 2016,06:01 AM - 08 Oct 2016,92
06:01 AM - 08 Oct 2016,07:01 AM - 08 Oct 2016,102
07:01 AM - 08 Oct 2016,08:01 AM - 08 Oct 2016,128
08:01 AM - 08 Oct 2016,09:01 AM - 08 Oct 2016,150
09:01 AM - 08 Oct 2016,10:01 AM - 08 Oct 2016,222
10:01 AM - 08 Oct 2016,11:01 AM - 08 Oct 2016,353
11:01 AM - 08 Oct 2016,12:01 PM - 08 Oct 2016,380
12:01 PM - 08 Oct 2016,01:01 PM - 08 Oct 2016,376
01:01 PM - 08 Oct 2016,02:01 PM - 08 Oct 2016,531
02:01 PM - 08 Oct 2016,03:01 PM - 08 Oct 2016,691
03:01 PM - 08 Oct 2016,04:01 PM - 08 Oct 2016,858
04:01 PM - 08 Oct 2016,05:01 PM - 08 Oct 2016,3949
05:01 PM - 08 Oct 2016,06:01 PM - 08 Oct 2016,13
06:01 PM - 08 Oct 2016,07:01 PM - 08 Oct 2016,15
07:01 PM - 08 Oct 2016,08:01 PM - 08 Oct 2016,19
08:01 PM - 08 Oct 2016,09:01 PM - 08 Oct 2016,29
09:01 PM - 08 Oct 2016,10:01 PM - 08 Oct 2016,36
10:01 PM - 08 Oct 2016,11:01 PM - 08 Oct 2016,57
11:01 PM - 08 Oct 2016,12:01 AM - 09 Oct 2016,104
12:01 AM - 09 Oct 2016,01:01 AM - 09 Oct 2016,78
01:01 AM - 09 Oct 2016,02:01 AM - 09 Oct 2016,62
02:01 AM - 09 Oct 2016,03:01 AM - 09 Oct 2016,65
03:01 AM - 09 Oct 2016,04:01 AM - 09 Oct 2016,96
04:01 AM - 09 Oct 2016,05:01 AM - 09 Oct 2016,73
05:01 AM - 09 Oct 2016,06:01 AM - 09 Oct 2016,127
06:01 AM - 09 Oct 2016,07:01 AM - 09 Oct 2016,130
07:01 AM - 09 Oct 2016,08:01 AM - 09 Oct 2016,146
08:01 AM - 09 Oct 2016,09:01 AM - 09 Oct 2016,182
09:01 AM - 09 Oct 2016,10:01 AM - 09 Oct 2016,257
10:01 AM - 09 Oct 2016,11:01 AM - 09 Oct 2016,254
11:01 AM - 09 Oct 2016,12:01 PM - 09 Oct 2016,324
12:01 PM - 09 Oct 2016,01:01 PM - 09 Oct 2016,314
01:01 PM - 09 Oct 2016,02:01 PM - 09 Oct 2016,365
02:01 PM - 09 Oct 2016,03:01 PM - 09 Oct 2016,577
03:01 PM - 09 Oct 2016,04:01 PM - 09 Oct 2016,1279
04:01 PM - 09 Oct 2016,05:01 PM - 09 Oct 2016,4101
