index,StartTime,EndTime,Lat,Long,Count
138,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,21.19998,72.84003,4
139,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,23.03005,72.58,2
140,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,26.92113,75.80998,6
141,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,29.56497,106.5949,4
142,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,30.58003,114.27,4
143,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,30.67,104.07,1
144,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,32.05001,118.7799,2
145,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,34.27502,108.8949,5
146,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,37.87501,112.545,1
147,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,39.13002,117.2,1
148,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,41.80497,123.4499,3
149,03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,43.865,125.3399,1
150,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,-8.83828,13.23442,3
151,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,-4.32972,15.31497,3
152,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,5.319996,-4.04004,4
153,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,10.78002,106.695,11
154,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,11.99997,8.520037,2
155,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,13.08998,80.27999,12
156,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,15.58807,32.53417,12
157,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,16.78335,96.16667,4
158,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,21.19998,72.84003,2
159,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,22.32999,91.79996,3
